HYP_GRP_CLASS_KEY|HYP_GRP_CLASS_DESC|HYP_CLASS_KEY|HYP_CLASS_DESC|HYP_SUB_CLASS_KEY|HYP_SUB_CLASS_DESC|HYP_CLUST_CLASS_DESC
100|SOFTS DRINKS|1000|GAZEIFIES|10000|LIMONADES ET LIMES|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1000|GAZEIFIES|10001|SODAS|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1000|GAZEIFIES|10002|BASE EXTRAIT NATUREL DE FRUITS|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1000|GAZEIFIES|10003|TONICS & BITTER|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1000|GAZEIFIES|10004|COLAS|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1000|GAZEIFIES|10005|A BASE DE THE|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10010|JUS ET NECTARS A L'ORANGE|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10011|PAMPLEMOUSSE ET AGRUMES|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10012|JUS DE POMME ET DE RAISIN|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10013|AUTRES MONO FRUITS|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10014|MELANGES DE FRUITS|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10015|DIETETIQUE ET JUS DE LEGUMES|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10016|BOISSON AUX FRUIT ET PLANTE|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10017|BOISSON A BASE DE THE|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10018|BOISSONS CHOCOLATEES|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1001|NON GAZEIFIES|10019|BOISSONS ENERGISANTES|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1002|SIROPS|10020|A BASE DE PLANTE|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
100|SOFTS DRINKS|1002|SIROPS|10021|FRUITS ROUGES|JUS DE FRUITS, BOISSON GAZEUSE, SIROP
